archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,4927,2297,2,0,6405,0,0
Regular,2,8870,5279,2,0,11531,0,1
Hardcore,2,3733,3098,1,1,5993,1,0
Hoarder,2,8576,6597,2,0,11148,3,0
"Early Locker",2,3911,1833,2,0,5083,1,0
"Late Deployer",2,3256,1742,1,1,4898,1,0
Boost-Focused,2,6845,2803,1,1,9935,2,0
Star-Focused,2,5893,4516,2,0,7661,6,0
"Aggressive Sigil User",2,3606,2142,2,0,4688,0,0
"Mostly Idle",2,4266,2130,2,0,5545,1,0
