archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,16020,16235,5,0,52064,4,1
Regular,5,17034,18547,4,1,61908,3,2
Hardcore,5,22279,21280,1,4,102325,1,0
Hoarder,5,11131,8945,5,0,36174,18,0
"Early Locker",5,17274,17997,5,0,56140,5,0
"Late Deployer",5,16787,16712,0,5,84216,5,0
Boost-Focused,5,18002,17883,0,5,90290,3,0
Star-Focused,5,21244,22415,5,0,69041,3,1
"Aggressive Sigil User",5,15615,15117,0,5,78358,2,0
"Mostly Idle",5,12939,12439,5,0,42051,5,0
