archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,12316,11983,5,0,40024,0,0
Regular,5,17917,18469,3,2,71389,3,1
Hardcore,5,21506,21735,1,4,100146,1,0
Hoarder,5,10408,8124,5,0,33826,11,0
"Early Locker",5,17054,15698,5,0,55424,3,0
"Late Deployer",5,17339,16943,2,3,74262,5,0
Boost-Focused,5,17988,17264,1,4,84125,5,1
Star-Focused,5,20283,18868,5,0,65920,7,0
"Aggressive Sigil User",5,15485,14387,2,3,66409,2,1
"Mostly Idle",5,8883,8100,5,0,28870,1,0
