archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,11969,10522,19,1,159431,12,1
Regular,20,16511,15872,20,0,214636,18,3
Hardcore,20,21288,21098,5,15,387625,10,0
Hoarder,20,12030,11228,20,0,156384,117,0
"Early Locker",20,13589,13046,20,0,176657,9,0
"Late Deployer",20,17184,16668,6,14,306268,57,0
Boost-Focused,20,17685,17512,2,18,341351,3,2
Star-Focused,20,22665,22547,20,0,294637,62,0
"Aggressive Sigil User",20,19211,19200,15,5,279372,48,0
"Mostly Idle",20,10793,10393,20,0,140304,43,0
