archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,12629,11506,20,0,164178,8,1
Regular,20,17729,16911,18,2,242283,17,3
Hardcore,20,21871,21250,7,13,380697,9,0
Hoarder,20,13019,14034,18,2,174327,112,0
"Early Locker",20,14714,13194,20,0,191280,9,0
"Late Deployer",20,18784,17160,14,6,278831,55,2
Boost-Focused,20,18170,18115,0,20,364522,7,0
Star-Focused,20,22962,22593,20,0,298506,62,0
"Aggressive Sigil User",20,18920,19020,16,4,268535,52,0
"Mostly Idle",20,13548,14799,20,0,176119,33,0
