archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,11048,11227,5,0,35906,1,0
Regular,5,14383,14208,5,0,46745,3,3
Hardcore,5,21330,21245,0,5,106930,1,0
Hoarder,5,10345,8814,5,0,33621,17,0
"Early Locker",5,14141,11959,5,0,45959,3,0
"Late Deployer",5,17238,16761,2,3,73884,5,0
Boost-Focused,5,16206,16102,2,3,71119,0,2
Star-Focused,5,23598,23438,5,0,76692,6,0
"Aggressive Sigil User",5,16402,16542,0,5,82291,0,0
"Mostly Idle",5,7332,6352,5,0,23827,1,0
