archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,11310,10604,5,0,36757,0,0
Regular,5,17528,17976,4,1,63313,2,2
Hardcore,5,23035,21272,2,3,97276,1,0
Hoarder,5,10293,10141,5,0,33451,12,2
"Early Locker",5,15507,13391,5,0,50395,2,1
"Late Deployer",5,16651,16786,0,5,83537,5,0
Boost-Focused,5,17172,17507,1,4,82058,1,1
Star-Focused,5,19784,19227,5,0,64299,9,0
"Aggressive Sigil User",5,16082,15029,1,4,73924,2,0
"Mostly Idle",5,8026,8325,5,0,26084,1,0
