archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,12971,13450,5,0,42153,0,1
Regular,5,17694,17021,4,1,63479,3,2
Hardcore,5,21393,21214,1,4,99420,1,0
Hoarder,5,10115,9749,5,0,32873,17,0
"Early Locker",5,14509,13142,5,0,47153,1,0
"Late Deployer",5,16918,16523,1,4,78453,5,0
Boost-Focused,5,17393,17287,1,4,82503,0,1
Star-Focused,5,23646,26817,5,0,76850,9,0
"Aggressive Sigil User",5,18733,18078,3,2,72438,1,0
"Mostly Idle",5,10441,10107,5,0,33932,2,0
