archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,13254,12381,10,0,86148,13,1
Regular,10,17511,17217,6,4,139149,0,2
Hardcore,10,21286,21168,1,9,205657,3,0
Hoarder,10,10209,9622,10,0,66358,51,0
"Early Locker",10,16198,15874,10,0,105289,6,0
"Late Deployer",10,17210,16375,2,8,158182,21,0
Boost-Focused,10,17393,16781,0,10,174493,1,0
Star-Focused,10,23068,21938,10,0,149942,24,0
"Aggressive Sigil User",10,18620,17663,7,3,138691,11,2
"Mostly Idle",10,11000,10013,10,0,71500,11,0
