archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,11917,11363,10,0,77459,3,0
Regular,10,17197,16194,9,1,117500,3,1
Hardcore,10,21720,21175,1,9,208475,5,0
Hoarder,10,13377,13545,10,0,86948,49,0
"Early Locker",10,17164,16559,10,0,111564,2,0
"Late Deployer",10,16029,16233,3,7,144586,18,0
Boost-Focused,10,18004,17800,1,9,174438,2,1
Star-Focused,10,22885,21406,10,0,148752,25,0
"Aggressive Sigil User",10,17534,17763,7,3,131202,11,1
"Mostly Idle",10,11043,9778,10,0,71779,12,0
