archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,11248,11353,17,3,158151,6,1
Regular,20,16651,17462,19,1,222972,14,3
Hardcore,20,21610,21128,6,14,384866,12,0
Hoarder,20,12589,12669,20,0,163657,103,0
"Early Locker",20,14805,15718,20,0,192464,15,0
"Late Deployer",20,17786,16720,8,12,301712,59,1
Boost-Focused,20,18214,18458,2,18,354708,7,2
Star-Focused,20,21302,20401,20,0,276924,67,0
"Aggressive Sigil User",20,18269,17133,13,7,276921,55,3
"Mostly Idle",20,11218,9403,20,0,145824,29,0
