archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,13941,13055,9,1,94441,4,0
Regular,10,17051,16945,7,3,130562,8,2
Hardcore,10,21431,21152,1,9,206569,2,0
Hoarder,10,12951,12370,9,1,86315,42,0
"Early Locker",10,18289,17286,10,0,118872,4,0
"Late Deployer",10,17632,16376,5,5,144056,15,1
Boost-Focused,10,18027,17492,2,8,168545,1,2
Star-Focused,10,23278,21322,10,0,151308,25,0
"Aggressive Sigil User",10,17194,16928,8,2,122187,13,1
"Mostly Idle",10,9759,10559,10,0,63430,7,0
