archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,13800,13745,20,0,179396,12,1
Regular,20,16724,16688,16,4,241579,11,1
Hardcore,20,21398,21106,3,17,404684,12,0
Hoarder,20,13081,13190,20,0,170052,108,0
"Early Locker",20,16366,15675,20,0,212757,6,0
"Late Deployer",20,17634,17030,10,10,288565,62,1
Boost-Focused,20,17222,17385,3,17,331228,6,3
Star-Focused,20,23082,20891,20,0,300068,58,0
"Aggressive Sigil User",20,18651,18775,14,6,275861,44,1
"Mostly Idle",20,12596,10745,20,0,163740,28,0
