archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,11886,10647,10,0,77260,6,3
Regular,10,17257,15128,10,0,112172,6,3
Hardcore,10,21342,21161,1,9,206138,2,0
Hoarder,10,9469,8199,10,0,61546,49,1
"Early Locker",10,16851,16191,10,0,109528,6,0
"Late Deployer",10,19544,18156,6,4,150962,20,2
Boost-Focused,10,17568,16849,2,8,164649,2,2
Star-Focused,10,22942,22127,10,0,149121,19,0
"Aggressive Sigil User",10,16363,16299,4,6,140189,11,0
"Mostly Idle",10,12412,11817,10,0,80673,14,0
