archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2923,2942,4,1,10585,0,0
Regular,5,4553,4452,3,2,18189,0,3
Hardcore,5,7353,7353,0,5,37248,0,0
Hoarder,5,3866,3649,3,2,16087,0,0
"Early Locker",5,4281,4430,5,0,13913,0,0
"Late Deployer",5,4038,4032,1,4,19006,0,0
Boost-Focused,5,7031,7031,1,4,32855,0,1
Star-Focused,5,5030,5089,4,1,18245,1,2
"Aggressive Sigil User",5,5915,5849,2,3,25628,0,1
"Mostly Idle",5,2828,2901,5,0,9190,0,0
