archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2975,3281,4,1,10688,0,0
Regular,5,4236,4553,5,0,13767,0,2
Hardcore,5,7407,7431,0,5,37517,0,0
Hoarder,5,3503,2978,5,0,11382,0,0
"Early Locker",5,4073,4012,5,0,13235,0,0
"Late Deployer",5,3915,3928,0,5,19856,0,0
Boost-Focused,5,6897,7048,2,3,29640,0,2
Star-Focused,5,5035,4836,1,4,23289,1,0
"Aggressive Sigil User",5,6189,6245,0,5,31225,0,0
"Mostly Idle",5,2216,2301,5,0,7200,0,0
