archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2650,2467,19,1,35368,0,1
Regular,20,3586,3902,17,3,51089,1,6
Hardcore,20,6268,6307,0,20,126633,0,0
Hoarder,20,3762,3854,18,2,51836,1,1
"Early Locker",20,3492,3334,20,0,45393,0,0
"Late Deployer",20,3390,3386,1,19,67684,1,0
Boost-Focused,20,5927,5929,0,20,119678,1,0
Star-Focused,20,4310,4313,20,0,56026,0,2
"Aggressive Sigil User",20,4930,5144,6,14,90417,0,2
"Mostly Idle",20,2495,2332,20,0,32431,0,0
