archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,3073,3016,5,0,9986,1,0
Regular,5,4481,4772,3,2,18066,0,1
Hardcore,5,7717,7757,0,5,39066,0,0
Hoarder,5,4061,3945,5,0,13197,0,0
"Early Locker",5,4373,4113,5,0,14212,0,0
"Late Deployer",5,4266,4278,0,5,21612,1,0
Boost-Focused,5,7321,7286,0,5,36889,0,0
Star-Focused,5,4955,5101,4,1,17945,0,0
"Aggressive Sigil User",5,6249,6456,1,4,29509,0,0
"Mostly Idle",5,2956,3061,5,0,9605,0,0
