archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2605,2372,19,1,34742,0,1
Regular,20,3516,3747,14,6,54371,0,3
Hardcore,20,6195,6193,0,20,125070,0,0
Hoarder,20,3462,3510,18,2,47859,0,1
"Early Locker",20,3412,3365,20,0,44358,0,0
"Late Deployer",20,3240,3269,2,18,63723,1,0
Boost-Focused,20,5878,5800,3,17,112396,1,3
Star-Focused,20,4293,4567,20,0,55808,0,1
"Aggressive Sigil User",20,4961,5031,5,15,92317,0,1
"Mostly Idle",20,2557,2520,20,0,33236,0,0
