archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,3452,3523,5,0,11218,0,0
Regular,5,4541,4683,2,3,19903,1,1
Hardcore,5,7221,7294,0,5,36589,0,0
Hoarder,5,4086,4134,4,1,15001,0,0
"Early Locker",5,3718,4027,5,0,12082,0,0
"Late Deployer",5,4111,3943,3,2,16136,0,0
Boost-Focused,5,6773,6846,1,4,31693,2,1
Star-Focused,5,4747,4655,5,0,15427,0,2
"Aggressive Sigil User",5,5918,5867,1,4,27701,0,1
"Mostly Idle",5,2830,3025,5,0,9198,0,0
