archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2733,2560,10,0,17761,0,0
Regular,10,4762,4194,7,3,35879,0,2
Hardcore,10,6617,6632,0,10,66797,0,0
Hoarder,10,3627,3578,8,2,26717,2,0
"Early Locker",10,3730,3650,10,0,24241,0,0
"Late Deployer",10,3624,3589,0,10,36800,0,0
Boost-Focused,10,6402,6382,1,9,62232,1,1
Star-Focused,10,4836,4772,10,0,31430,0,1
"Aggressive Sigil User",10,5347,5394,3,7,48674,0,1
"Mostly Idle",10,2389,1975,10,0,15523,0,0
