archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2333,2148,9,1,16054,0,1
Regular,10,3883,3865,7,3,29663,0,4
Hardcore,10,6381,6372,0,10,64570,1,0
Hoarder,10,4141,3998,8,2,30011,0,4
"Early Locker",10,3592,3403,10,0,23346,0,0
"Late Deployer",10,3405,3319,1,9,33024,0,0
Boost-Focused,10,5792,5817,3,7,52379,0,3
Star-Focused,10,4416,4481,10,0,28701,0,0
"Aggressive Sigil User",10,5040,5057,3,7,45940,1,1
"Mostly Idle",10,2105,1722,10,0,13679,0,0
