archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2811,2629,9,1,19237,0,1
Regular,10,4130,4271,10,0,26844,0,7
Hardcore,10,6822,6749,0,10,68887,1,0
Hoarder,10,3367,3135,9,1,23585,1,0
"Early Locker",10,4384,4375,10,0,28495,0,0
"Late Deployer",10,4460,3534,3,7,38159,0,0
Boost-Focused,10,6448,6469,2,8,60220,0,2
Star-Focused,10,4598,4362,10,0,29886,0,1
"Aggressive Sigil User",10,5611,5596,3,7,50651,0,2
"Mostly Idle",10,2625,2677,10,0,17058,0,0
