archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2533,2479,9,1,17367,1,1
Regular,10,4096,4284,5,5,34563,0,2
Hardcore,10,6911,6906,0,10,69872,1,0
Hoarder,10,3427,3329,9,1,23934,0,1
"Early Locker",10,3338,3005,10,0,21694,0,0
"Late Deployer",10,3531,3536,2,8,33678,1,0
Boost-Focused,10,6491,6330,0,10,65476,0,0
Star-Focused,10,4745,4683,10,0,30841,0,0
"Aggressive Sigil User",10,5588,5634,2,8,52676,0,2
"Mostly Idle",10,2411,2140,10,0,15671,0,0
