archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2666,2690,9,1,18323,0,0
Regular,10,4588,3965,8,2,32921,0,1
Hardcore,10,6924,6882,0,10,69903,0,0
Hoarder,10,3707,3868,8,2,27298,0,1
"Early Locker",10,3983,3798,10,0,25890,0,1
"Late Deployer",10,3517,3514,0,10,35732,0,0
Boost-Focused,10,6470,6504,0,10,65263,0,0
Star-Focused,10,4672,4717,10,0,30366,0,0
"Aggressive Sigil User",10,5581,5592,2,8,52246,0,2
"Mostly Idle",10,2307,1842,10,0,14994,0,0
