archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,3008,3141,5,0,9774,0,0
Regular,5,4383,4397,3,2,17502,0,2
Hardcore,5,6682,6698,0,5,33790,1,0
Hoarder,5,4800,4584,3,2,18948,0,2
"Early Locker",5,4283,4025,5,0,13920,0,0
"Late Deployer",5,3631,3544,2,3,15751,0,0
Boost-Focused,5,6640,6781,1,4,31154,0,1
Star-Focused,5,4891,4960,5,0,15894,0,1
"Aggressive Sigil User",5,5384,5608,1,4,25597,0,0
"Mostly Idle",5,2329,2253,5,0,7569,0,0
