archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,13442,13450,9,1,90244,29,1
Regular,10,17611,16050,10,0,114471,51,2
Hardcore,10,22289,21653,4,6,190255,16,0
Hoarder,10,13347,13645,10,0,86755,119,0
"Early Locker",10,18652,18135,10,0,121235,25,0
"Late Deployer",10,19744,19805,2,8,183715,73,0
Boost-Focused,10,18252,17492,3,7,163205,21,3
Star-Focused,10,23335,21925,10,0,151678,103,0
"Aggressive Sigil User",10,19631,18945,8,2,139312,92,0
"Mostly Idle",10,16742,17239,10,0,108817,24,0
