archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,15632,15121,5,0,50805,6,0
Regular,5,18240,18469,2,3,79857,21,0
Hardcore,5,21367,21331,1,4,99365,10,0
Hoarder,5,12108,10124,4,1,42642,48,0
"Early Locker",5,16679,17772,5,0,54206,21,0
"Late Deployer",5,19508,19414,1,4,90712,27,0
Boost-Focused,5,17988,17264,1,4,84125,8,1
Star-Focused,5,20709,18863,5,0,67304,33,0
"Aggressive Sigil User",5,16455,16585,2,3,70331,29,1
"Mostly Idle",5,12812,10613,5,0,41638,7,0
