archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,13426,12485,9,1,91149,24,0
Regular,10,18949,19920,9,1,130193,51,2
Hardcore,10,21701,21175,3,7,192661,25,0
Hoarder,10,13784,13483,10,0,89596,132,1
"Early Locker",10,15994,13965,10,0,103959,32,0
"Late Deployer",10,19925,19671,3,7,177626,81,0
Boost-Focused,10,18703,18181,0,10,187592,9,0
Star-Focused,10,24287,25069,10,0,157867,105,0
"Aggressive Sigil User",10,18507,18246,7,3,135130,100,1
"Mostly Idle",10,12506,10892,10,0,81287,41,0
