archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,12767,11827,18,2,172621,49,1
Regular,20,18119,16792,18,2,249550,113,0
Hardcore,20,22475,21657,11,9,359250,91,0
Hoarder,20,13495,14519,20,0,175429,239,0
"Early Locker",20,16489,15515,20,0,214361,112,0
"Late Deployer",20,19295,19358,3,17,367100,202,0
Boost-Focused,20,18216,18458,2,18,354739,40,2
Star-Focused,20,24862,25042,20,0,323210,219,0
"Aggressive Sigil User",20,20386,20806,16,4,287812,235,1
"Mostly Idle",20,13851,14340,20,0,180059,76,1
