archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,14331,13501,17,3,196937,61,1
Regular,20,18054,18795,20,0,234703,115,1
Hardcore,20,22571,21153,10,10,367580,89,0
Hoarder,20,14592,16017,20,0,189697,260,0
"Early Locker",20,18445,18680,20,0,239782,67,1
"Late Deployer",20,19776,19829,3,17,374933,186,0
Boost-Focused,20,17291,17574,3,17,334064,30,3
Star-Focused,20,24363,24296,19,1,323514,257,0
"Aggressive Sigil User",20,19930,19979,17,3,277154,214,0
"Mostly Idle",20,14516,16106,19,1,191064,84,0
