archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,13689,11765,9,1,92887,27,0
Regular,10,17227,16210,10,0,111970,42,2
Hardcore,10,21532,21653,1,9,208024,43,0
Hoarder,10,13630,13093,10,0,88592,115,0
"Early Locker",10,17145,16348,10,0,111440,36,0
"Late Deployer",10,20112,19815,3,7,179646,80,0
Boost-Focused,10,17722,17800,1,9,172602,14,1
Star-Focused,10,26661,28109,10,0,173292,93,0
"Aggressive Sigil User",10,19149,18496,8,2,135347,77,0
"Mostly Idle",10,14547,15416,10,0,94556,29,0
