archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,14386,13683,18,2,194453,72,2
Regular,20,18915,18639,17,3,264068,123,0
Hardcore,20,22219,21173,10,10,363271,84,0
Hoarder,20,13120,12414,20,0,170560,296,0
"Early Locker",20,18124,18713,20,0,235610,90,0
"Late Deployer",20,20144,19826,4,16,372675,205,0
Boost-Focused,20,17222,17385,3,17,331228,34,3
Star-Focused,20,25506,25546,20,0,331569,235,0
"Aggressive Sigil User",20,19721,20089,15,5,284990,241,1
"Mostly Idle",20,13835,13538,20,0,179846,75,0
