archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,12823,12681,10,0,83349,16,0
Regular,10,18094,18780,10,0,117610,44,2
Hardcore,10,22125,21625,2,8,203856,30,0
Hoarder,10,11504,10717,9,1,78040,122,1
"Early Locker",10,18028,18053,10,0,117177,40,0
"Late Deployer",10,19626,19648,4,6,169224,80,0
Boost-Focused,10,17568,16849,2,8,164649,19,2
Star-Focused,10,27384,29089,10,0,177991,97,0
"Aggressive Sigil User",10,18001,17272,7,3,134032,80,0
"Mostly Idle",10,14107,14941,10,0,91694,37,0
