archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,14164,11818,19,1,187322,59,1
Regular,20,18048,16882,16,4,259803,146,1
Hardcore,20,22587,22216,12,8,352654,85,0
Hoarder,20,13844,13619,20,0,179974,277,1
"Early Locker",20,17790,17829,20,0,231262,74,0
"Late Deployer",20,20029,19556,8,12,342744,193,0
Boost-Focused,20,18172,18115,0,20,364573,45,0
Star-Focused,20,24945,25688,20,0,324281,225,0
"Aggressive Sigil User",20,19536,19751,17,3,270150,242,0
"Mostly Idle",20,12179,10824,20,0,158323,81,0
