archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,15386,15005,10,0,100007,28,0
Regular,10,18086,17123,9,1,123860,40,1
Hardcore,10,22292,21204,4,6,189779,26,0
Hoarder,10,14087,16171,10,0,91567,119,1
"Early Locker",10,16309,16087,10,0,106004,24,0
"Late Deployer",10,19432,19657,1,9,187850,84,0
Boost-Focused,10,17393,16781,0,10,174493,16,0
Star-Focused,10,22584,21481,10,0,146791,110,0
"Aggressive Sigil User",10,19966,19776,6,4,152709,100,1
"Mostly Idle",10,15307,16279,10,0,99494,38,0
