archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,12969,11976,5,0,42149,10,1
Regular,5,15583,16175,5,0,50645,16,2
Hardcore,5,21373,21288,0,5,107145,12,0
Hoarder,5,10707,8824,5,0,34798,46,0
"Early Locker",5,13894,13134,5,0,45154,11,0
"Late Deployer",5,19613,19696,0,5,98347,30,0
Boost-Focused,5,16206,16102,2,3,71119,5,2
Star-Focused,5,23733,22033,5,0,77132,34,0
"Aggressive Sigil User",5,18497,18858,3,2,71714,26,0
"Mostly Idle",5,12024,12268,5,0,39076,8,0
