archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,14605,14198,20,0,189856,53,0
Regular,20,17946,18511,16,4,258733,123,0
Hardcore,20,22414,21568,12,8,350760,96,0
Hoarder,20,13126,12624,19,1,173806,276,1
"Early Locker",20,16078,15318,20,0,209017,74,0
"Late Deployer",20,20199,19865,6,14,359721,201,1
Boost-Focused,20,17702,17512,2,18,341703,31,2
Star-Focused,20,25304,24691,20,0,328953,239,0
"Aggressive Sigil User",20,19073,18219,14,6,282332,231,1
"Mostly Idle",20,13784,14216,20,0,179191,84,0
