archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,11580,10925,3,2,45383,11,0
Regular,5,15660,15354,4,1,57733,15,0
Hardcore,5,22185,21822,2,3,94584,6,0
Hoarder,5,11493,12062,5,0,37350,50,1
"Early Locker",5,18708,17056,5,0,60800,6,0
"Late Deployer",5,19807,19748,1,4,92247,29,0
Boost-Focused,5,17172,17507,1,4,82058,2,1
Star-Focused,5,21324,21517,5,0,69302,35,0
"Aggressive Sigil User",5,15373,15029,0,5,77146,24,0
"Mostly Idle",5,13144,14396,5,0,42717,6,0
