archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,13578,13615,4,1,47956,5,0
Regular,5,18175,20028,4,1,66242,20,2
Hardcore,5,21471,21662,1,4,100010,11,0
Hoarder,5,12169,11297,5,0,39550,42,0
"Early Locker",5,17396,17210,5,0,56535,13,0
"Late Deployer",5,19477,19789,1,4,90670,20,0
Boost-Focused,5,17393,17287,1,4,82503,4,1
Star-Focused,5,20316,20428,5,0,66024,37,0
"Aggressive Sigil User",5,15550,16533,2,3,68010,13,0
"Mostly Idle",5,12770,13675,5,0,41502,17,0
