archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,3319,3337,19,1,44384,0,2
Regular,20,5076,5483,12,8,82034,1,5
Hardcore,20,8847,8620,1,19,173081,0,0
Hoarder,20,3932,3478,18,2,54560,1,3
"Early Locker",20,4588,4333,20,0,59640,0,0
"Late Deployer",20,4417,4390,6,14,80638,1,0
Boost-Focused,20,8207,8226,2,18,159387,0,2
Star-Focused,20,5218,5068,19,1,69825,0,0
"Aggressive Sigil User",20,6944,7032,4,16,130459,0,2
"Mostly Idle",20,3014,3013,20,0,39177,0,0
