archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,3341,3403,4,1,12237,0,0
Regular,5,5814,6046,5,0,18893,0,3
Hardcore,5,9738,9831,0,5,49130,0,0
Hoarder,5,3919,3585,5,0,12735,0,0
"Early Locker",5,5661,5757,5,0,18396,0,0
"Late Deployer",5,5172,4965,0,5,26140,0,0
Boost-Focused,5,9351,9328,2,3,40156,0,2
Star-Focused,5,5596,5938,4,1,20320,0,0
"Aggressive Sigil User",5,8237,8094,0,5,41469,0,0
"Mostly Idle",5,2467,2173,5,0,8015,0,0
