archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,3563,3367,10,0,23157,0,0
Regular,10,6230,5199,7,3,46713,0,1
Hardcore,10,9086,9111,0,10,91467,0,0
Hoarder,10,3725,3831,9,1,26190,0,1
"Early Locker",10,4986,4771,10,0,32404,0,0
"Late Deployer",10,4577,4532,0,10,46331,0,0
Boost-Focused,10,9238,9219,0,10,93006,0,0
Star-Focused,10,5503,5242,9,1,37952,0,1
"Aggressive Sigil User",10,7702,7676,2,8,72085,0,2
"Mostly Idle",10,2974,2710,10,0,19330,0,0
