archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,3373,3328,20,0,43844,1,2
Regular,20,5106,5271,12,8,83028,0,3
Hardcore,20,8544,8608,0,20,172115,2,0
Hoarder,20,4039,4172,16,4,58962,0,1
"Early Locker",20,4558,4327,20,0,59258,0,0
"Late Deployer",20,4240,4357,5,15,79065,1,0
Boost-Focused,20,8479,8351,3,17,161864,0,3
Star-Focused,20,4828,4760,19,1,64414,0,1
"Aggressive Sigil User",20,7067,7021,3,17,135329,1,2
"Mostly Idle",20,3030,3026,20,0,39389,0,0
