archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,3249,3122,10,0,21117,1,0
Regular,10,5726,5881,5,5,47522,0,4
Hardcore,10,9082,9027,0,10,91486,1,0
Hoarder,10,4140,4291,9,1,28883,1,1
"Early Locker",10,5350,5287,10,0,34770,0,1
"Late Deployer",10,4758,4788,2,8,45079,1,0
Boost-Focused,10,8749,8657,0,10,88153,0,0
Star-Focused,10,5486,5314,8,2,39436,1,2
"Aggressive Sigil User",10,7219,7096,3,7,65845,0,2
"Mostly Idle",10,2997,2972,10,0,19477,0,0
