archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,3773,3710,3,2,15132,0,0
Regular,5,5592,5529,4,1,20164,0,3
Hardcore,5,9462,9503,0,5,47692,0,0
Hoarder,5,4666,5281,1,4,22968,0,0
"Early Locker",5,5475,5472,5,0,17793,0,0
"Late Deployer",5,4750,4786,3,2,19331,0,0
Boost-Focused,5,9160,9238,1,4,42892,0,1
Star-Focused,5,5474,5658,4,1,19846,0,0
"Aggressive Sigil User",5,7403,7329,1,4,34677,0,1
"Mostly Idle",5,3109,3246,5,0,10102,0,0
