archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,3453,3281,9,1,23702,0,0
Regular,10,5303,5502,6,4,42823,0,4
Hardcore,10,8681,8645,0,10,87573,1,0
Hoarder,10,4015,4073,7,3,31637,0,3
"Early Locker",10,4034,3989,10,0,26218,0,0
"Late Deployer",10,4792,4828,2,8,45337,0,0
Boost-Focused,10,8087,8082,3,7,72846,0,3
Star-Focused,10,5057,4786,10,0,32867,0,2
"Aggressive Sigil User",10,7205,7267,2,8,68051,1,1
"Mostly Idle",10,2743,2656,10,0,17825,0,0
