archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,3655,3403,19,1,48843,0,1
Regular,20,5087,5155,12,8,82731,1,4
Hardcore,20,8201,8182,0,20,165145,0,0
Hoarder,20,3967,3905,19,1,53214,0,3
"Early Locker",20,4748,4210,20,0,61727,0,0
"Late Deployer",20,4360,4234,3,17,83700,1,0
Boost-Focused,20,8255,8176,3,17,157713,1,3
Star-Focused,20,5103,5063,19,1,67926,0,2
"Aggressive Sigil User",20,6772,6727,4,16,127815,0,1
"Mostly Idle",20,2984,2771,20,0,38788,0,0
