archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,3871,3781,5,0,12580,0,0
Regular,5,6904,6666,1,4,32412,0,1
Hardcore,5,9841,9833,0,5,49649,0,0
Hoarder,5,3859,3165,4,1,14611,0,0
"Early Locker",5,5153,5071,5,0,16746,0,0
"Late Deployer",5,5013,5060,0,5,25346,0,0
Boost-Focused,5,9818,9830,1,4,45912,1,1
Star-Focused,5,5327,5335,5,0,17310,0,0
"Aggressive Sigil User",5,8081,8112,1,4,37779,0,1
"Mostly Idle",5,2922,2998,5,0,9494,0,0
