archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,3717,3934,10,0,24158,0,0
Regular,10,5806,6301,5,5,48887,0,4
Hardcore,10,8646,8579,0,10,87080,0,0
Hoarder,10,4311,4238,8,2,31662,2,2
"Early Locker",10,4551,3959,10,0,29579,0,0
"Late Deployer",10,4564,4576,2,8,43259,0,0
Boost-Focused,10,8842,8846,1,9,85807,0,1
Star-Focused,10,5371,5456,9,1,36938,0,1
"Aggressive Sigil User",10,6788,7032,4,6,59761,0,1
"Mostly Idle",10,2862,2552,10,0,18600,0,0
