archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,3388,3210,5,0,11010,1,0
Regular,5,5708,5901,3,2,22763,0,2
Hardcore,5,9265,9416,0,5,46767,0,0
Hoarder,5,4874,5052,2,3,22133,0,0
"Early Locker",5,6099,6258,5,0,19821,0,0
"Late Deployer",5,5046,5071,0,5,25512,1,0
Boost-Focused,5,9237,9373,0,5,46508,0,0
Star-Focused,5,5737,5904,5,0,18645,0,0
"Aggressive Sigil User",5,7791,7943,0,5,39238,0,0
"Mostly Idle",5,3155,3439,5,0,10252,0,0
