archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,3192,3285,19,1,42860,0,0
Regular,20,5018,5167,13,7,79341,0,4
Hardcore,20,8477,8765,0,20,170770,1,0
Hoarder,20,4046,3846,19,1,54421,0,1
"Early Locker",20,4658,4560,20,0,60555,0,0
"Late Deployer",20,4595,4533,3,17,88472,2,0
Boost-Focused,20,8609,8647,2,18,167179,1,2
Star-Focused,20,5153,5287,17,3,72662,0,2
"Aggressive Sigil User",20,7076,7060,4,16,132767,2,3
"Mostly Idle",20,2948,2839,20,0,38321,0,0
