archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,3262,3353,10,0,21201,0,1
Regular,10,5573,5574,9,1,38403,0,5
Hardcore,10,8874,9130,0,10,89300,1,0
Hoarder,10,3603,3614,8,2,27248,1,0
"Early Locker",10,4886,4478,10,0,31756,0,0
"Late Deployer",10,5498,4679,2,8,49543,0,0
Boost-Focused,10,8796,8795,2,8,81522,0,2
Star-Focused,10,5363,5461,9,1,36777,0,2
"Aggressive Sigil User",10,7007,7377,3,7,64800,0,0
"Mostly Idle",10,2469,2663,10,0,16044,0,0
