archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,3896,3903,4,1,14083,0,0
Regular,5,4578,4358,4,1,16926,0,1
Hardcore,5,8721,8614,0,5,43886,1,0
Hoarder,5,4907,5169,4,1,18040,0,3
"Early Locker",5,5714,5633,5,0,18571,0,0
"Late Deployer",5,3915,3959,2,3,17572,0,0
Boost-Focused,5,9458,9565,1,4,44116,0,1
Star-Focused,5,5704,5817,5,0,18538,0,1
"Aggressive Sigil User",5,7057,7282,1,4,33565,0,0
"Mostly Idle",5,2781,2523,5,0,9038,0,0
