archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,103620,101635,2,0,134705,11,0
Regular,2,173627,171318,1,1,285733,20,0
"Late Deployer",2,115173,114969,0,2,230459,15,0
Star-Focused,2,194240,193814,1,1,320462,45,1
