archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,1553,776,2,0,2019,0,0
Regular,2,2112,1121,2,0,2744,0,0
Hardcore,2,347,238,1,1,590,0,0
"Aggressive Sigil User",2,269,198,1,1,475,0,0
