archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,2076,267,2,0,2698,0,0
Regular,2,2270,1098,2,0,2950,0,0
"Early Locker",2,1656,1129,2,0,2151,0,0
"Late Deployer",2,2098,2072,2,0,2726,0,0
