archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,919,544,2,0,1194,0,0
Regular,2,1130,1088,2,0,1468,0,0
Hardcore,2,534,385,1,1,884,0,0
Hoarder,2,1064,300,2,0,1383,0,0
"Early Locker",2,1386,435,2,0,1801,0,0
"Late Deployer",2,409,375,2,0,531,0,1
Boost-Focused,2,2136,1099,2,0,2776,0,0
Star-Focused,2,1237,710,2,0,1608,0,0
"Aggressive Sigil User",2,6412,3093,2,0,8335,0,0
"Mostly Idle",2,1088,271,2,0,1414,0,0
