archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,1555,777,2,0,2021,0,0
Regular,2,2120,1123,2,0,2755,0,0
Hardcore,2,473,473,0,2,1058,1,0
"Aggressive Sigil User",2,218,211,1,1,413,0,1
