archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Regular,2,2044,2026,2,0,2656,0,0
Hardcore,2,1439,1414,2,0,1870,0,1
"Early Locker",2,1658,1162,2,0,2155,0,0
"Late Deployer",2,2342,1117,2,0,3045,0,0
"Aggressive Sigil User",2,334,268,1,1,584,0,0
