archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2399,2232,19,1,31984,0,0
Regular,20,3259,3398,17,3,46361,0,4
Hardcore,20,5509,5445,6,14,99162,0,0
Hoarder,20,3458,3619,19,1,46355,0,1
"Early Locker",20,2929,2948,20,0,38078,0,0
"Late Deployer",20,3058,3078,6,14,55559,0,0
Boost-Focused,20,4989,4954,5,15,91553,0,0
Star-Focused,20,4165,4020,19,1,55547,0,3
"Aggressive Sigil User",20,4463,4486,10,10,74544,0,1
"Mostly Idle",20,1953,1870,20,0,25384,0,0
