archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2257,2080,5,0,7336,0,1
Regular,5,3767,3632,5,0,12240,0,5
Hardcore,5,5320,5447,1,4,25257,0,0
Hoarder,5,4033,4114,4,1,14633,0,2
"Early Locker",5,3436,3398,5,0,11164,0,0
"Late Deployer",5,2947,2950,0,5,15018,0,0
Boost-Focused,5,5094,5145,2,3,22083,0,2
Star-Focused,5,3863,3978,1,4,18293,1,0
"Aggressive Sigil User",5,4988,4720,2,3,21331,0,0
"Mostly Idle",5,1582,1396,5,0,5140,0,1
