archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2746,2396,10,0,17846,0,2
Regular,10,3525,3666,6,4,28369,0,1
Hardcore,10,5685,5659,0,10,57511,1,0
Hoarder,10,3225,2979,9,1,22502,0,0
"Early Locker",10,3544,3606,10,0,23030,0,1
"Late Deployer",10,3296,3134,2,8,30576,0,0
Boost-Focused,10,5284,5118,4,6,45458,0,0
Star-Focused,10,4021,3934,10,0,26136,0,0
"Aggressive Sigil User",10,4537,4623,5,5,38093,0,0
"Mostly Idle",10,2165,2028,10,0,14074,0,0
