archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2252,2091,18,2,30802,0,0
Regular,20,3015,3162,15,5,45171,0,1
Hardcore,20,5001,4973,5,15,91837,0,0
Hoarder,20,3408,3622,18,2,46994,0,2
"Early Locker",20,2992,2967,20,0,38896,0,1
"Late Deployer",20,2907,2729,8,12,49917,1,0
Boost-Focused,20,4542,4518,4,16,85365,1,0
Star-Focused,20,3733,3735,19,1,49754,0,0
"Aggressive Sigil User",20,4279,4174,7,13,75380,1,2
"Mostly Idle",20,2084,2011,20,0,27091,0,0
